frame,points,total,diff
827,32,50,18
828,26,50,24
829,0,50,50
830,0,27,27
831,0,8,8
832,0,9,9
833,0,14,14
834,2,17,15
835,48,48,0
836,40,48,8
837,38,48,10
838,29,48,19
839,22,48,26
840,47,47,0
841,44,47,3
842,33,47,14
843,3,47,44
844,0,43,43
845,0,10,10
846,0,16,16
847,51,51,0
848,51,51,0
849,50,51,1
850,49,51,2
851,48,51,3
852,49,51,2
853,50,51,1
854,49,51,2
855,49,51,2
856,9,51,42
857,0,50,50
858,0,7,7
859,0,3,3
860,23,29,6
861,21,29,8
862,20,29,9
863,20,29,9
864,21,29,8
865,21,29,8
866,20,29,9
867,20,29,9
868,20,29,9
869,20,29,9
870,20,29,9
871,24,29,5
872,24,29,5
873,0,29,29
874,0,9,9
875,0,5,5
876,0,14,14
877,43,46,3
878,44,46,2
879,43,46,3
880,40,46,6
881,37,46,9
882,38,46,8
883,36,46,10
884,36,46,10
885,37,46,9
886,36,46,10
887,36,46,10
888,34,46,12
889,35,46,11
890,33,46,13
891,34,46,12
892,36,46,10
893,0,46,46
894,0,42,42
895,0,8,8
896,0,3,3
897,0,4,4
898,40,42,2
899,37,42,5
900,37,42,5
901,37,42,5
902,38,42,4
903,34,42,8
904,32,42,10
905,9,42,33
906,0,42,42
907,0,10,10
908,0,5,5
909,0,3,3
910,3,12,9
911,50,50,0
912,49,50,1
913,50,50,0
914,48,50,2
915,44,50,6
916,47,50,3
917,42,50,8
918,38,50,12
919,36,50,14
920,39,50,11
921,32,50,18
922,0,50,50
923,0,9,9
924,0,3,3
925,11,17,6
926,11,17,6
927,11,17,6
928,11,17,6
929,11,17,6
930,11,17,6
931,11,17,6
932,10,17,7
933,9,17,8
934,9,17,8
935,10,17,7
936,1,17,16
937,0,20,20
938,0,4,4
939,0,6,6
940,29,36,7
941,29,36,7
942,28,36,8
943,29,36,7
944,28,36,8
945,28,36,8
946,25,36,11
947,22,36,14
948,16,36,20
949,33,55,22
950,0,55,55
951,0,30,30
952,0,7,7
953,0,3,3
954,39,41,2
955,39,41,2
956,39,41,2
957,37,41,4
958,37,41,4
959,37,41,4
960,37,41,4
961,37,41,4
962,32,41,9
963,0,41,41
964,0,28,28
965,0,6,6
966,0,6,6
967,2,12,10
968,51,51,0
969,51,51,0
970,51,51,0
971,51,51,0
972,51,51,0
973,50,51,1
974,49,51,2
975,45,51,6
976,11,51,40
977,0,49,49
978,0,22,22
979,0,10,10
980,0,6,6
981,8,11,3
982,8,11,3
983,8,11,3
984,8,11,3
985,8,11,3
986,8,11,3
987,8,11,3
988,8,11,3
989,9,11,2
990,7,11,4
991,0,11,11
992,0,7,7
993,0,9,9
994,31,39,8
995,31,39,8
996,31,39,8
997,31,39,8
998,31,39,8
999,31,39,8
1000,30,39,9
1001,28,39,11
1002,0,39,39
1003,0,13,13
1004,0,4,4
1005,0,4,4
1006,43,45,2
1007,41,45,4
1008,39,45,6
1009,37,45,8
1010,38,45,7
1011,41,45,4
1012,43,45,2
1013,43,45,2
1014,2,45,43
1015,0,45,45
1016,0,8,8
1017,0,6,6
1018,0,6,6
1019,41,44,3
1020,42,44,2
1021,42,44,2
1022,42,44,2
1023,42,44,2
1024,42,44,2
1025,42,44,2
1026,41,44,3
1027,39,44,5
1028,0,44,44
1029,0,15,15
1030,0,5,5
1031,0,3,3
1032,42,43,1
1033,42,43,1
1034,42,43,1
1035,41,43,2
1036,41,43,2
1037,42,43,1
1038,41,43,2
1039,41,43,2
1040,0,43,43
1041,0,12,12
1042,0,3,3
1043,1,7,6
1044,53,53,0
1045,53,53,0
1046,53,53,0
1047,52,53,1
1048,51,53,2
1049,50,53,3
1050,17,53,36
1051,0,54,54
1052,0,16,16
1053,0,6,6
1054,0,3,3
1055,45,45,0
1056,44,45,1
1057,44,45,1
1058,44,45,1
1059,44,45,1
1060,44,45,1
1061,41,45,4
1062,40,45,5
1063,14,45,31
1064,0,44,44
1065,0,8,8
1066,0,3,3
1067,1,9,8
1068,48,48,0
1069,48,48,0
1070,48,48,0
1071,48,48,0
1072,48,48,0
1073,48,48,0
1074,48,48,0
1075,46,48,2
1076,39,48,9
1077,0,48,48
1078,0,15,15
1079,0,3,3
1080,14,17,3
1081,13,17,4
1082,13,17,4
1083,13,17,4
1084,13,17,4
1085,13,17,4
1086,14,17,3
1087,14,17,3
1088,14,17,3
1089,15,17,2
1090,0,17,17
1091,0,7,7
1092,0,4,4
1093,2,12,10
1094,53,54,1
1095,54,54,0
1096,52,54,2
1097,52,54,2
1098,53,54,1
1099,53,54,1
1100,51,54,3
1101,46,54,8
1102,1,54,53
1103,0,46,46
1104,0,10,10
1105,0,3,3
1106,1,7,6
1107,46,47,1
1108,45,47,2
1109,44,47,3
1110,43,47,4
1111,43,47,4
1112,45,47,2
1113,43,47,4
1114,44,47,3
1115,45,47,2
1116,0,47,47
1117,0,16,16
1118,0,3,3
1119,0,8,8
1120,50,50,0
1121,50,50,0
1122,50,50,0
1123,50,50,0
1124,50,50,0
1125,50,50,0
1126,50,50,0
1127,50,50,0
1128,0,50,50
1129,0,25,25
1130,0,6,6
1131,0,3,3
1132,43,45,2
1133,40,45,5
1134,40,45,5
1135,41,45,4
1136,39,45,6
1137,41,45,4
1138,36,45,9
1139,34,45,11
1140,0,45,45
1141,0,11,11
1142,0,5,5
1143,1,8,7
1144,47,47,0
1145,45,47,2
1146,42,47,5
1147,37,47,10
1148,35,47,12
1149,31,47,16
1150,34,47,13
1151,39,47,8
1152,30,47,17
1153,0,47,47
1154,0,34,34
1155,0,5,5
1156,26,26,0
1157,25,26,1
1158,25,26,1
1159,22,26,4
1160,23,26,3
1161,24,26,2
1162,23,26,3
1163,24,26,2
1164,23,26,3
1165,0,26,26
1166,0,7,7
1167,0,4,4
1168,1,7,6
1169,50,51,1
1170,50,51,1
1171,51,51,0
1172,50,51,1
1173,51,51,0
1174,51,51,0
1175,50,51,1
1176,49,51,2
1177,0,51,51
1178,0,22,22
1179,0,4,4
1180,0,3,3
1181,45,45,0
1182,45,45,0
1183,44,45,1
1184,44,45,1
1185,44,45,1
1186,44,45,1
1187,45,45,0
1188,44,45,1
1189,42,45,3
1190,4,45,41
1191,0,43,43
1192,0,8,8
