frame,points,total,diff
967,2,12,10
968,51,51,0
969,51,51,0
970,51,51,0
971,51,51,0
972,51,51,0
973,51,51,0
974,51,51,0
975,51,51,0
976,37,51,14
977,0,51,51
978,0,22,22
979,0,10,10
980,0,6,6
981,9,11,2
982,8,11,3
983,8,11,3
984,8,11,3
985,8,11,3
986,8,11,3
987,8,11,3
988,9,11,2
989,9,11,2
990,8,11,3
991,0,11,11
992,0,7,7
993,0,9,9
994,32,39,7
995,32,39,7
996,31,39,8
997,31,39,8
998,31,39,8
999,31,39,8
1000,32,39,7
1001,30,39,9
1002,0,39,39
1003,0,13,13
1004,0,4,4
1005,0,4,4
1006,45,45,0
1007,44,45,1
1008,44,45,1
1009,43,45,2
1010,44,45,1
1011,44,45,1
1012,45,45,0
1013,45,45,0
1014,13,45,32
1015,0,45,45
1016,0,8,8
1017,0,6,6
1018,0,6,6
1019,42,44,2
1020,42,44,2
1021,42,44,2
1022,42,44,2
1023,43,44,1
1024,42,44,2
1025,42,44,2
1026,42,44,2
1027,42,44,2
1028,0,44,44
1029,0,15,15
1030,0,5,5
1031,0,3,3
1032,43,43,0
1033,43,43,0
1034,43,43,0
1035,42,43,1
1036,43,43,0
1037,43,43,0
1038,43,43,0
1039,43,43,0
1040,0,43,43
1041,0,12,12
1042,0,3,3
1043,2,7,5
1044,53,53,0
1045,53,53,0
1046,53,53,0
1047,53,53,0
1048,53,53,0
1049,52,53,1
1050,44,53,9
1051,0,53,53
1052,0,16,16
1053,0,6,6
1054,0,3,3
1055,45,45,0
1056,45,45,0
1057,45,45,0
1058,45,45,0
1059,45,45,0
1060,45,45,0
1061,45,45,0
1062,45,45,0
1063,37,45,8
1064,0,45,45
1065,0,8,8
1066,0,3,3
1067,1,9,8
1068,48,48,0
1069,48,48,0
1070,48,48,0
1071,48,48,0
1072,48,48,0
1073,48,48,0
1074,48,48,0
1075,48,48,0
1076,47,48,1
1077,0,48,48
1078,0,15,15
1079,0,3,3
1080,14,17,3
1081,13,17,4
1082,13,17,4
1083,13,17,4
1084,13,17,4
1085,14,17,3
1086,14,17,3
1087,14,17,3
1088,14,17,3
1089,16,17,1
1090,0,17,17
1091,0,7,7
1092,0,4,4
1093,2,12,10
1094,54,54,0
1095,54,54,0
1096,54,54,0
1097,54,54,0
1098,53,54,1
1099,53,54,1
1100,54,54,0
1101,52,54,2
1102,1,54,53
1103,0,46,46
1104,0,10,10
1105,0,3,3
1106,1,7,6
1107,47,47,0
1108,47,47,0
1109,47,47,0
1110,45,47,2
1111,46,47,1
1112,47,47,0
1113,47,47,0
1114,47,47,0
1115,47,47,0
1116,0,47,47
1117,0,16,16
1118,0,3,3
1119,1,8,7
1120,50,50,0
1121,50,50,0
1122,50,50,0
1123,50,50,0
1124,50,50,0
1125,50,50,0
1126,50,50,0
1127,50,50,0
1128,0,50,50
1129,0,25,25
1130,0,6,6
1131,0,3,3
1132,44,45,1
1133,43,45,2
1134,43,45,2
1135,43,45,2
1136,43,45,2
1137,43,45,2
1138,42,45,3
1139,38,45,7
1140,0,45,45
1141,0,11,11
1142,0,5,5
1143,1,8,7
1144,47,47,0
1145,47,47,0
1146,47,47,0
1147,45,47,2
1148,43,47,4
1149,41,47,6
1150,42,47,5
1151,46,47,1
1152,41,47,6
1153,1,47,46
1154,0,34,34
1155,0,5,5
1156,26,26,0
1157,26,26,0
1158,25,26,1
1159,24,26,2
1160,24,26,2
1161,25,26,1
1162,26,26,0
1163,26,26,0
1164,24,26,2
1165,0,26,26
1166,0,7,7
1167,0,4,4
1168,1,7,6
1169,51,51,0
1170,51,51,0
1171,51,51,0
1172,51,51,0
1173,51,51,0
1174,51,51,0
1175,51,51,0
1176,51,51,0
1177,0,51,51
1178,0,22,22
1179,0,4,4
1180,0,3,3
1181,45,45,0
1182,45,45,0
1183,45,45,0
1184,45,45,0
1185,45,45,0
1186,45,45,0
1187,45,45,0
1188,45,45,0
1189,45,45,0
1190,17,45,28
1191,0,43,43
1192,0,8,8
1193,0,4,4
1194,0,10,10
1195,0,12,12
1196,50,50,0
1197,50,50,0
1198,50,50,0
1199,50,50,0
1200,50,50,0
1201,50,50,0
1202,50,50,0
1203,50,50,0
1204,5,50,45
1205,0,43,43
1206,0,17,17
1207,0,15,15
1208,0,21,21
1209,0,14,14
1210,0,9,9
1211,0,8,8
1212,1,14,13
1213,45,45,0
1214,45,45,0
1215,45,45,0
1216,45,45,0
1217,45,45,0
1218,45,45,0
1219,45,45,0
1220,45,45,0
1221,43,45,2
1222,44,45,1
1223,0,45,45
1224,0,31,31
1225,0,16,16
1226,0,8,8
1227,0,11,11
1228,0,11,11
1229,0,11,11
1230,1,19,18
1231,50,50,0
1232,50,50,0
1233,50,50,0
1234,49,50,1
1235,50,50,0
1236,50,50,0
1237,50,50,0
1238,50,50,0
1239,47,50,3
1240,17,50,33
1241,0,51,51
