frame,points,total,diff
859,1,3,2
860,33,33,0
861,22,33,11
862,20,33,13
863,22,33,11
864,22,33,11
865,24,33,9
866,24,33,9
867,18,33,15
868,0,33,33
869,0,4,4
870,0,3,3
871,0,8,8
872,0,4,4
873,18,23,5
874,20,23,3
875,21,23,2
876,20,23,3
877,20,23,3
878,21,23,2
879,20,23,3
880,22,23,1
881,23,23,0
882,21,23,2
883,1,23,22
884,0,36,36
885,0,6,6
886,0,1,1
887,0,1,1
888,19,19,0
889,19,19,0
890,19,19,0
891,19,19,0
892,19,19,0
893,19,19,0
894,19,19,0
895,19,19,0
896,19,19,0
897,16,19,3
898,2,19,17
899,0,34,34
900,0,27,27
901,0,5,5
902,0,2,2
903,11,17,6
904,8,17,9
905,45,48,3
906,44,48,4
907,45,48,3
908,45,48,3
909,44,48,4
910,43,48,5
911,40,48,8
912,3,48,45
913,0,41,41
914,0,15,15
915,0,2,2
916,0,3,3
917,1,1,0
918,1,1,0
919,1,1,0
920,1,1,0
921,1,1,0
922,1,1,0
923,1,1,0
924,1,1,0
925,1,1,0
926,1,1,0
927,1,1,0
928,0,1,1
929,0,1,1
930,0,1,1
931,15,23,8
932,10,23,13
933,47,48,1
934,47,48,1
935,43,48,5
936,28,48,20
937,8,48,40
938,41,48,7
939,10,48,38
940,0,48,48
941,0,16,16
942,0,2,2
943,0,1,1
944,0,9,9
945,1,4,3
946,28,35,7
947,35,35,0
948,35,35,0
949,35,35,0
950,35,35,0
951,1,35,34
952,0,24,24
953,0,3,3
954,0,5,5
955,0,2,2
956,2,4,2
957,46,48,2
958,46,48,2
959,46,48,2
960,40,48,8
961,33,48,15
962,25,48,23
963,37,48,11
964,37,48,11
965,0,48,48
966,0,25,25
967,0,4,4
968,0,1,1
969,0,2,2
970,2,3,1
971,2,3,1
972,2,3,1
973,2,3,1
974,2,3,1
975,2,3,1
976,2,3,1
977,2,3,1
978,0,3,3
979,0,3,3
980,0,0,0
981,0,4,4
982,15,37,22
983,48,48,0
984,47,48,1
985,45,48,3
986,47,48,1
987,36,48,12
988,1,48,47
989,0,36,36
990,0,7,7
991,0,3,3
992,0,3,3
993,0,2,2
994,1,2,1
995,33,33,0
996,33,33,0
997,33,33,0
998,33,33,0
999,33,33,0
1000,29,33,4
1001,0,33,33
1002,0,13,13
1003,0,1,1
1004,0,1,1
1005,3,5,2
1006,2,5,3
1007,40,48,8
1008,9,48,39
1009,5,48,43
1010,0,48,48
1011,0,27,27
1012,0,4,4
1013,0,2,2
1014,0,7,7
1015,0,3,3
1016,1,4,3
