frame,points,total,diff
1206,0,27,27
1207,0,7,7
1208,0,13,13
1209,13,41,28
1210,48,49,1
1211,47,49,2
1212,48,49,1
1213,48,49,1
1214,48,49,1
1215,48,49,1
1216,48,49,1
1217,48,49,1
1218,48,49,1
1219,4,49,45
1220,0,29,29
1221,0,4,4
1222,0,9,9
1223,2,27,25
1224,44,44,0
1225,44,44,0
1226,44,44,0
1227,43,44,1
1228,44,44,0
1229,44,44,0
1230,44,44,0
1231,43,44,1
1232,44,44,0
1233,0,44,44
1234,0,6,6
1235,0,22,22
1236,3,30,27
1237,50,50,0
1238,49,50,1
1239,50,50,0
1240,49,50,1
1241,49,50,1
1242,49,50,1
1243,49,50,1
1244,49,50,1
1245,49,50,1
1246,0,50,50
1247,0,8,8
1248,0,15,15
1249,1,9,8
1250,43,43,0
1251,41,43,2
1252,41,43,2
1253,41,43,2
1254,41,43,2
1255,41,43,2
1256,41,43,2
1257,41,43,2
1258,0,43,43
1259,0,11,11
1260,0,12,12
1261,2,5,3
1262,17,21,4
1263,17,21,4
1264,17,21,4
1265,17,21,4
1266,17,21,4
1267,17,21,4
1268,17,21,4
1269,17,21,4
1270,17,21,4
1271,17,21,4
1272,12,21,9
1273,0,21,21
1274,1,5,4
1275,0,6,6
1276,20,23,3
1277,21,23,2
1278,20,23,3
1279,21,23,2
1280,20,23,3
1281,20,23,3
1282,20,23,3
1283,20,23,3
1284,20,23,3
1285,20,23,3
1286,20,23,3
1287,20,23,3
1288,20,23,3
1289,0,23,23
1290,0,12,12
1291,1,21,20
1292,46,46,0
1293,43,46,3
1294,43,46,3
1295,41,46,5
1296,42,46,4
1297,41,46,5
1298,42,46,4
1299,42,46,4
1300,41,46,5
1301,42,46,4
1302,41,46,5
1303,42,46,4
1304,41,46,5
1305,41,46,5
1306,42,46,4
1307,42,46,4
1308,41,46,5
1309,42,46,4
1310,42,46,4
1311,42,46,4
1312,42,46,4
1313,0,46,46
1314,0,11,11
1315,0,24,24
1316,1,34,33
1317,50,51,1
1318,50,51,1
1319,50,51,1
1320,51,51,0
1321,50,51,1
1322,50,51,1
1323,50,51,1
1324,50,51,1
1325,10,51,41
1326,0,39,39
1327,0,9,9
1328,4,14,10
1329,52,52,0
1330,51,52,1
1331,52,52,0
1332,51,52,1
1333,51,52,1
1334,51,52,1
1335,51,52,1
1336,51,52,1
1337,51,52,1
1338,51,52,1
1339,19,52,33
1340,0,40,40
1341,0,7,7
1342,0,8,8
1343,9,23,14
1344,50,50,0
1345,49,50,1
1346,49,50,1
1347,49,50,1
1348,49,50,1
1349,49,50,1
1350,49,50,1
1351,49,50,1
1352,49,50,1
1353,49,50,1
1354,49,50,1
1355,0,50,50
1356,0,15,15
1357,0,31,31
1358,26,48,22
1359,22,48,26
1360,49,49,0
1361,49,49,0
1362,49,49,0
1363,49,49,0
1364,49,49,0
1365,49,49,0
1366,49,49,0
1367,49,49,0
1368,49,49,0
1369,0,49,49
1370,0,20,20
1371,1,29,28
1372,48,49,1
1373,46,49,3
1374,47,49,2
1375,46,49,3
1376,46,49,3
1377,46,49,3
1378,46,49,3
1379,46,49,3
1380,46,49,3
1381,46,49,3
1382,33,49,16
1383,0,49,49
1384,0,8,8
1385,1,17,16
1386,38,43,5
1387,39,43,4
1388,38,43,5
1389,38,43,5
1390,38,43,5
1391,38,43,5
1392,38,43,5
1393,38,43,5
1394,38,43,5
1395,38,43,5
1396,0,43,43
1397,0,8,8
1398,0,14,14
1399,0,14,14
1400,43,44,1
1401,42,44,2
1402,42,44,2
1403,41,44,3
1404,41,44,3
1405,41,44,3
1406,42,44,2
1407,41,44,3
1408,41,44,3
1409,41,44,3
1410,41,44,3
1411,41,44,3
1412,0,44,44
1413,3,15,12
1414,3,11,8
1415,44,45,1
1416,44,45,1
1417,44,45,1
