frame,points,total,diff
777,0,13,13
778,0,21,21
779,3,27,24
780,39,41,2
781,39,41,2
782,39,41,2
783,39,41,2
784,38,41,3
785,38,41,3
786,39,41,2
787,39,41,2
788,0,41,41
789,0,14,14
790,0,8,8
791,11,20,9
792,9,20,11
793,48,48,0
794,48,48,0
795,48,48,0
796,47,48,1
797,45,48,3
798,47,48,1
799,18,48,30
800,0,46,46
801,0,12,12
802,2,19,17
803,41,43,2
804,40,43,3
805,40,43,3
806,40,43,3
807,40,43,3
808,40,43,3
809,40,43,3
810,40,43,3
811,0,43,43
812,0,16,16
813,0,26,26
814,39,43,4
815,34,43,9
816,35,43,8
817,36,43,7
818,37,43,6
819,36,43,7
820,36,43,7
821,38,43,5
822,0,43,43
823,0,25,25
824,0,7,7
825,9,20,11
826,46,47,1
827,43,47,4
828,42,47,5
829,44,47,3
830,43,47,4
831,43,47,4
832,43,47,4
833,0,47,47
834,0,10,10
835,0,16,16
836,0,9,9
837,33,34,1
838,32,34,2
839,30,34,4
840,29,34,5
841,30,34,4
842,32,34,2
843,30,34,4
844,31,34,3
845,0,34,34
846,0,15,15
847,0,5,5
848,1,16,15
849,34,47,13
850,39,47,8
851,13,47,34
852,25,50,25
853,50,50,0
854,49,50,1
855,50,50,0
856,49,50,1
857,0,50,50
858,0,21,21
859,0,8,8
860,3,10,7
861,42,44,2
862,43,44,1
863,41,44,3
864,42,44,2
865,42,44,2
866,43,44,1
867,43,44,1
868,43,44,1
869,42,44,2
870,0,44,44
871,0,6,6
872,0,16,16
873,1,22,21
874,48,50,2
875,37,50,13
876,46,50,4
877,48,50,2
878,46,50,4
879,47,50,3
880,48,50,2
881,48,50,2
882,48,50,2
883,0,50,50
884,0,13,13
885,0,8,8
886,3,10,7
887,43,44,1
888,44,44,0
889,43,44,1
890,43,44,1
891,43,44,1
892,44,44,0
893,44,44,0
894,44,44,0
895,43,44,1
896,0,44,44
897,0,10,10
898,0,21,21
899,4,29,25
900,50,51,1
901,49,51,2
902,51,51,0
903,50,51,1
904,51,51,0
905,51,51,0
906,50,51,1
907,0,51,51
908,0,18,18
909,0,7,7
910,3,7,4
911,25,27,2
912,25,27,2
913,25,27,2
914,25,27,2
915,25,27,2
916,25,27,2
917,25,27,2
918,24,27,3
919,25,27,2
920,0,27,27
921,0,9,9
922,0,18,18
923,0,11,11
924,30,32,2
925,28,32,4
926,29,32,3
927,29,32,3
928,29,32,3
929,27,32,5
930,28,32,4
931,29,32,3
932,1,32,31
933,0,18,18
934,0,5,5
935,2,11,9
936,39,40,1
937,39,40,1
938,39,40,1
939,39,40,1
940,38,40,2
941,39,40,1
942,38,40,2
943,39,40,1
944,38,40,2
945,31,40,9
946,0,40,40
947,6,12,6
948,21,32,11
949,21,32,11
950,22,32,10
951,22,32,10
952,21,32,11
953,22,32,10
954,21,32,11
955,21,32,11
956,22,32,10
957,21,32,11
958,0,32,32
959,0,19,19
960,0,37,37
961,43,48,5
962,43,48,5
963,44,48,4
964,44,48,4
965,42,48,6
966,45,48,3
967,45,48,3
